alumno,media_1E,media_2E,media_3E,media_4E,media_1B,media_2B
0,3.25,4.38,,,,
1,4.5,3.0,,,,
2,5.4,4.8,4.45,3.67,,
3,5.7,6.4,4.09,,,
4,8.8,9.2,7.91,8.56,8.89,9.0
5,0.0,0.0,,,,
6,5.5,5.5,5.58,5.56,,
7,6.5,7.3,7.09,6.56,,
8,5.8,6.0,6.0,6.22,5.44,5.75
9,1.0,1.75,,,,
10,4.4,5.45,4.27,,,
11,5.3,5.7,5.45,5.44,5.11,5.25
12,6.5,6.3,5.64,5.89,5.0,6.62
13,5.1,5.8,5.73,5.44,,
14,6.36,5.3,3.91,,,
15,4.0,,,,,
16,5.4,6.0,5.45,4.67,,
17,5.1,4.5,4.56,,,
18,6.0,6.6,5.75,6.22,,
19,5.5,5.5,,,,
20,6.1,5.9,0.73,,,
21,8.1,7.4,7.55,7.89,8.33,8.62
22,6.1,6.1,6.82,7.11,,
23,5.4,4.8,4.64,4.25,,
24,5.0,3.8,,,,
25,5.8,6.2,5.58,6.0,,
26,5.6,4.8,3.27,,,
27,2.18,1.0,,,,
28,6.5,6.7,5.82,6.33,,
29,5.4,5.2,6.18,3.89,,
30,3.9,2.12,,,,
31,8.5,8.1,6.91,6.56,5.4,6.88
32,3.2,5.0,,,,
33,5.8,,,,,
34,5.2,5.4,4.82,,,
35,5.4,6.1,5.73,7.56,5.89,6.0
36,3.1,6.5,4.78,5.23,5.56,4.62
37,4.82,4.0,,,,
38,6.9,6.7,6.0,7.22,7.33,6.88
39,5.5,4.6,4.08,4.0,,
40,5.7,6.9,6.55,5.33,5.67,5.75
41,5.7,6.0,5.27,6.22,,
42,5.9,6.7,6.82,7.78,7.78,7.75
43,3.36,2.2,,,,
44,7.1,7.5,6.73,7.0,5.67,6.88
45,7.7,8.2,8.09,7.33,8.67,8.0
46,6.0,,,,,
47,7.8,6.4,,,,
48,8.7,8.6,7.55,8.44,8.11,7.75
49,5.8,6.3,4.82,4.56,,
50,5.6,4.5,4.08,4.22,,
51,6.5,6.6,7.0,4.0,,
52,5.91,6.3,5.45,6.78,,
53,6.5,7.8,6.82,8.0,8.0,8.12
54,4.8,5.25,4.44,3.56,,
55,6.0,5.0,3.73,,,
56,1.0,2.62,,,,
57,5.5,4.3,,,,
58,3.6,2.0,,,,
59,2.3,3.0,,,,
60,3.7,7.88,,,,
61,5.8,4.2,2.45,,,
62,0.0,3.0,,,,
63,7.1,6.8,6.36,5.56,,
64,6.0,5.3,4.82,2.89,,
65,5.3,5.8,3.08,,,
66,5.8,5.3,4.44,4.64,,
67,5.3,5.7,6.18,4.0,,
68,5.36,5.6,,,,
69,4.1,4.6,,,,
70,1.5,1.5,,,,
71,6.0,6.73,6.55,5.78,,
72,4.9,6.5,4.78,,,
73,3.9,3.91,,,,
74,4.1,5.88,4.67,3.89,,
75,,6.0,1.82,,,
76,0.0,1.0,0.09,,,
77,6.0,6.9,5.09,6.22,,
78,,5.8,0.0,1.33,,
79,5.0,5.2,6.0,6.11,,
80,,6.2,5.55,5.44,5.0,0.62
81,5.0,4.9,4.45,4.33,4.67,4.0
82,2.14,0.2,,,,
83,5.0,0.0,,,,
84,4.44,2.0,0.0,,,
85,0.0,2.82,4.22,,,
86,,6.5,5.36,5.78,6.15,6.62
87,5.6,2.3,0.73,,,
88,,1.0,,,,
89,5.0,5.7,5.82,4.22,4.2,
90,1.43,0.7,0.09,,,
91,,6.9,6.64,7.11,6.56,6.25
92,5.0,7.3,6.91,6.56,,
93,,4.3,0.64,,,
94,5.0,5.09,3.55,,,
95,,6.4,5.45,5.89,,
96,3.0,4.0,3.64,,,
97,,6.9,6.55,6.22,6.08,6.12
98,6.0,6.2,5.45,5.22,,
99,,5.2,0.09,,,
100,5.0,5.3,4.64,4.22,3.78,1.75
101,0.0,0.0,,,,
102,0.0,1.0,,,,
103,5.0,5.18,3.18,3.0,,
104,0.0,1.5,,,,
105,1.67,1.5,,,,
106,,5.7,5.45,3.89,,
107,,5.6,5.25,6.22,,
108,,,5.27,6.22,5.89,4.12
109,6.7,5.56,5.55,4.89,4.11,0.62
110,,,3.55,,,
111,5.9,4.22,1.64,,,
112,4.3,2.7,0.0,,,
113,5.2,4.0,2.64,,,
114,,,0.45,,,
115,,0.0,0.45,,,
116,4.8,5.89,5.91,6.44,5.78,4.62
117,,5.0,6.73,7.56,,
118,6.11,6.33,5.18,5.78,5.22,5.0
119,4.7,5.6,5.67,5.22,,
120,6.2,7.22,5.73,5.89,5.89,5.88
121,,0.0,0.0,,,
122,,,5.64,5.78,,
123,4.3,4.4,3.64,,,
124,,,0.82,,,
125,6.0,6.3,5.09,6.11,,
126,,,5.27,6.22,,
127,6.4,5.64,6.0,6.56,,
128,6.7,6.22,5.64,5.22,5.8,5.25
129,,,0.09,,,
130,6.3,6.11,7.09,6.0,,
131,,,5.73,6.33,,
132,,,0.0,,,
133,,,0.0,,,
134,5.3,4.5,2.45,4.22,,
135,5.0,5.0,0.55,,,
136,,5.56,7.27,8.78,8.33,7.38
137,4.8,5.56,2.91,,,
138,,,0.91,,,
139,5.0,7.0,,7.33,6.33,6.75
140,5.8,6.4,5.42,4.78,5.44,5.12
141,4.9,5.17,,7.0,,
142,5.6,5.6,4.58,4.22,,
143,,,5.0,5.44,5.5,
144,,,,5.89,5.6,
145,,,,6.33,6.33,6.0
146,,,,6.11,5.0,
147,5.7,5.4,5.17,5.78,3.33,
148,,,5.0,5.33,6.0,5.38
149,,,,5.33,4.44,
150,,,,6.33,,
151,,,,7.44,,
152,,,,5.89,7.9,6.5
153,7.4,6.7,,8.44,8.67,9.12
154,6.0,5.86,5.0,6.22,,
155,,,5.0,3.33,,
156,,5.0,,3.0,,
157,4.8,5.5,5.67,4.0,,
158,,,2.5,4.89,,
160,,,6.33,6.78,,
161,,5.0,2.0,6.89,5.67,
162,,,,4.78,,
163,,,5.0,5.1,4.44,6.25
164,5.0,7.0,5.0,5.78,5.89,5.62
165,5.9,4.5,4.5,0.22,,
166,,,,6.44,,
167,,7.0,5.0,6.23,,
168,,7.0,5.0,6.22,,
169,,,1.0,6.67,,
170,,,,7.44,,
171,,5.8,6.0,7.44,,
172,,,4.0,5.44,,
173,,,,6.22,6.38,7.12
174,,,,7.0,,
175,5.3,5.67,,4.56,,
176,4.9,5.43,,6.11,,
177,,,,8.33,7.56,7.62
178,,3.0,5.0,5.11,6.0,4.75
179,,,4.67,6.2,5.44,4.5
180,,,,6.89,7.78,8.12
181,,,5.0,2.89,,
182,,5.0,,4.56,5.0,
183,,,,6.56,,
184,,,3.0,5.56,4.67,5.62
185,,3.0,1.0,5.56,6.0,6.5
186,5.5,4.8,4.83,5.22,,
187,4.9,5.0,5.08,6.33,7.0,5.75
188,,,5.0,4.56,,
189,5.0,5.43,4.33,5.67,,
190,,,,7.44,7.67,7.75
191,,,,0.11,,
192,,,,4.11,,
193,,5.0,4.0,5.33,6.0,5.5
194,,,,5.0,,
195,,,,6.89,4.22,
196,,,,6.44,8.11,8.25
197,,5.0,1.0,5.56,,
198,,5.0,,5.22,,
199,,,,6.33,6.78,6.75
200,5.3,5.5,5.0,5.78,5.78,5.0
201,,,,3.22,,
202,,,2.0,6.0,5.89,5.62
203,5.0,4.8,5.62,6.56,,
204,,0.62,,,,
205,,2.0,,,,
206,0.0,5.75,3.36,,,
207,,5.0,3.06,,,
208,,6.25,5.09,,,
209,,0.25,,,,
210,,6.0,4.0,,,
211,,0.0,,,,
212,1.0,5.62,0.82,,,
213,3.0,6.38,0.91,,,
214,,3.12,,,,
215,0.0,,0.0,0.0,,
216,,,0.0,0.0,,
217,,,0.0,0.0,,
218,,,0.0,,,
219,,,,0.0,,
220,6.1,6.6,5.45,5.3,4.44,
221,6.9,7.1,5.91,5.5,0.0,
222,7.8,9.2,9.18,8.22,9.44,9.25
223,7.1,6.9,5.73,7.11,7.56,7.33
224,7.1,6.2,7.27,6.08,,
225,7.0,6.8,6.09,6.22,,
226,7.0,6.4,7.31,6.22,6.56,6.88
227,6.2,6.5,6.0,5.78,6.67,6.62
228,7.1,7.5,6.91,6.89,6.67,8.12
229,9.4,9.6,9.0,9.33,9.67,10.0
230,7.2,7.2,6.18,6.44,5.22,6.62
231,5.5,6.8,6.18,7.33,6.67,7.0
232,8.1,7.1,,,,
233,8.2,8.6,8.0,8.44,8.22,8.88
234,5.8,5.8,5.64,5.11,5.75,
235,5.08,4.6,4.27,5.78,5.89,
236,7.1,6.6,6.27,5.78,7.22,7.75
237,8.1,9.1,7.91,8.11,7.67,6.88
238,5.6,6.4,3.83,,,
239,5.7,5.5,4.67,3.92,,
240,8.3,9.1,9.09,9.0,9.33,9.5
241,7.8,8.0,6.45,7.56,8.22,8.0
242,6.2,5.7,5.45,4.56,,
243,10.0,10.0,,9.33,9.44,9.5
244,9.0,8.9,7.91,8.22,8.0,8.88
245,7.5,7.9,7.55,7.0,7.0,6.62
246,7.2,6.8,5.69,6.22,,
247,8.5,8.9,7.55,6.33,7.1,6.38
248,8.3,7.4,6.55,7.33,8.56,8.0
249,8.0,8.1,7.0,8.56,,
250,6.09,6.0,5.91,5.0,,
251,6.7,6.0,4.5,6.0,6.11,6.0
252,5.6,5.2,5.18,6.09,,
253,7.0,6.8,5.64,5.22,5.0,4.62
254,7.6,8.3,7.18,6.44,6.78,7.75
255,7.9,6.0,6.64,6.44,6.11,6.25
256,5.4,5.33,4.27,3.4,,
257,6.83,5.7,5.07,4.78,,
258,6.5,6.7,6.0,5.56,,
259,5.4,5.55,,,,
260,8.7,8.7,7.45,8.22,7.89,7.0
261,8.5,9.3,8.64,8.56,8.11,8.75
262,7.2,7.0,5.36,5.38,,
263,6.4,5.8,5.91,7.33,8.33,8.12
264,6.3,6.2,4.91,5.89,4.89,5.0
265,5.6,5.08,4.36,6.0,5.89,4.88
266,6.2,6.0,5.64,5.56,5.55,6.25
267,9.0,8.3,7.82,9.0,9.33,9.75
268,8.1,8.3,7.64,7.11,7.56,8.62
269,6.4,6.7,5.27,4.42,4.89,5.12
270,6.6,6.9,6.69,5.22,5.16,
271,9.5,9.5,9.09,9.22,9.11,9.5
272,5.6,5.3,5.58,5.83,,
273,7.4,7.6,7.27,5.67,5.55,
274,7.4,7.3,6.82,7.56,7.1,8.25
275,7.3,6.9,5.45,4.33,,
276,7.8,6.8,5.91,7.89,8.33,8.0
277,5.9,5.6,5.85,5.33,4.67,
278,4.42,4.8,,,,
279,9.3,7.7,6.82,6.0,,
280,9.2,9.3,8.18,8.89,9.56,9.75
281,5.9,5.9,4.62,5.56,,
282,7.2,8.1,7.36,6.67,6.44,6.75
283,7.3,8.3,7.82,8.22,7.33,8.5
284,5.7,6.0,5.45,5.0,4.89,5.12
285,7.1,7.3,6.55,7.11,6.78,7.38
286,,6.09,6.55,6.67,6.33,5.0
287,,7.27,8.18,7.56,8.7,8.62
288,5.0,5.8,5.57,5.89,,
289,5.0,5.82,6.18,5.56,,
290,,7.0,6.73,5.78,7.7,8.12
291,,7.9,8.64,9.67,9.78,9.75
292,,7.8,7.27,,8.0,9.25
293,,6.2,7.09,6.33,6.44,7.5
294,5.0,5.92,6.0,6.56,4.33,3.62
295,,8.09,8.45,8.56,8.44,9.25
296,,8.45,9.0,9.0,8.67,9.25
297,,5.64,6.27,6.33,5.78,5.5
298,,8.4,8.45,7.67,7.44,8.75
299,,8.8,8.18,8.22,7.44,7.75
300,,7.27,8.45,8.11,6.78,6.25
301,,7.27,7.18,7.33,7.67,9.12
302,,6.9,6.91,5.0,4.4,4.0
303,,8.5,7.27,1.0,,
304,,5.9,6.36,7.11,6.67,6.75
305,,5.45,6.82,6.89,6.78,8.12
306,,8.64,9.27,9.0,9.0,9.62
307,,8.3,7.45,7.11,,
308,,7.64,7.18,7.56,7.2,5.38
309,5.0,5.5,5.36,5.56,4.78,
310,,7.18,7.55,7.44,8.11,6.88
311,,5.91,6.0,5.67,6.7,7.25
312,,5.6,5.91,6.22,6.22,6.62
313,,6.0,5.36,5.89,,
314,,6.0,6.36,6.78,,
315,,6.8,7.27,7.22,7.22,7.88
316,,5.27,6.0,5.56,5.33,
317,,8.09,9.64,9.0,8.78,7.5
318,,7.27,8.27,8.22,7.56,6.62
319,5.0,4.9,1.45,,,
320,,7.8,6.91,7.89,7.89,8.62
321,,8.6,9.6,9.33,8.67,8.12
322,,7.7,8.0,7.56,8.22,4.25
323,,7.36,7.27,8.0,7.56,7.75
324,,8.27,9.0,,,
325,5.0,4.9,3.42,,,
326,,6.9,6.64,7.78,7.67,8.25
327,,8.3,7.45,8.22,7.89,8.12
328,6.0,6.3,5.64,6.33,6.3,7.0
329,,7.2,6.91,6.89,6.44,7.75
330,,6.7,5.64,6.33,7.56,7.38
331,,5.64,6.6,7.11,7.8,7.5
332,,8.73,9.45,9.22,9.0,9.38
333,,6.3,6.82,6.0,,
334,,8.3,7.73,8.33,6.89,6.38
335,,8.4,9.27,8.78,8.78,9.12
336,,7.0,7.27,6.78,7.67,7.62
337,,5.36,5.18,4.85,,
338,,8.09,8.73,8.56,7.78,7.75
339,,6.64,7.0,7.22,8.6,8.5
340,,6.1,5.45,5.67,,
341,,6.64,6.82,6.33,8.3,8.5
342,,6.64,7.91,8.11,8.11,6.75
343,,7.91,9.18,9.44,9.11,9.75
344,,6.18,6.82,6.11,7.4,7.0
345,9.4,9.8,9.82,10.0,10.0,9.88
346,6.9,6.9,7.09,6.56,6.44,6.38
347,8.5,8.8,9.36,8.78,,8.88
348,8.2,7.5,8.0,7.89,8.0,8.0
349,6.3,6.0,6.0,5.0,4.67,
350,6.3,6.8,6.09,5.56,4.33,3.62
351,6.6,7.2,6.27,5.67,5.22,3.62
352,5.5,5.9,6.27,6.56,7.0,6.0
353,6.6,6.5,7.0,7.0,8.11,7.75
354,7.5,7.9,7.64,6.67,6.11,6.62
355,7.5,7.8,7.09,6.11,6.43,6.38
356,5.3,5.9,6.55,5.89,6.89,4.38
357,8.2,8.5,9.45,9.44,9.11,9.75
358,5.3,4.9,5.36,5.78,7.11,5.38
359,6.9,6.6,6.91,7.0,5.46,5.62
360,7.8,6.3,7.27,6.44,7.78,6.75
361,6.7,6.4,6.09,5.67,7.0,7.0
362,5.9,5.56,5.64,5.78,6.44,2.62
363,7.0,6.9,6.82,6.78,8.44,7.88
364,7.9,8.0,9.45,9.0,9.27,9.88
365,5.4,5.8,6.82,6.56,6.89,6.5
366,7.5,7.2,6.64,7.0,6.44,7.12
367,8.5,8.6,9.55,9.33,8.67,9.25
368,8.2,8.3,9.27,9.56,8.56,8.88
369,8.5,7.5,8.27,7.44,7.67,6.5
370,6.7,6.2,6.73,6.33,6.33,4.88
371,7.6,8.0,9.09,8.67,9.0,9.12
372,5.8,6.1,6.18,6.67,7.33,7.12
373,5.9,5.7,6.45,6.33,7.22,7.88
374,6.1,5.6,5.55,6.38,7.22,7.12
375,6.4,5.67,4.82,,,
376,8.0,8.0,9.36,8.89,9.22,9.5
377,7.1,7.4,8.0,8.0,9.0,9.0
378,5.4,5.7,6.27,7.44,6.44,6.88
379,6.9,6.7,5.45,6.44,6.44,
380,6.2,6.2,5.45,6.0,0.9,
381,8.2,8.6,9.09,9.56,8.67,8.5
382,5.89,4.0,0.45,,,
383,7.91,8.6,8.73,8.56,8.56,8.88
384,5.8,5.9,5.64,6.11,6.0,0.75
385,7.7,8.0,8.36,8.56,8.0,7.5
386,6.6,6.3,6.55,5.33,8.11,5.12
387,6.7,6.9,7.36,8.22,8.67,8.5
388,8.7,8.5,9.45,9.56,9.67,9.62
389,6.8,6.3,7.18,7.0,9.11,9.62
390,6.0,5.9,5.91,6.67,7.44,8.38
391,8.0,8.0,8.82,8.67,7.67,7.5
392,5.6,6.0,6.18,6.56,6.33,6.38
393,5.4,4.9,5.36,6.55,,
394,7.2,6.0,6.73,6.67,,
395,8.2,8.7,7.55,8.22,8.67,9.38
396,6.0,5.6,5.38,5.78,3.89,
397,6.5,5.9,6.0,6.78,5.78,5.75
398,7.5,6.9,7.82,7.11,6.56,8.0
399,8.4,6.9,8.27,7.56,7.33,7.62
400,5.7,5.2,5.09,4.33,3.11,
401,5.9,6.0,5.36,5.43,,
402,,,,6.89,6.89,6.0
403,,,,5.89,7.56,8.12
404,,,,6.89,6.67,6.25
405,,,,7.44,7.89,7.62
406,,,,9.0,9.0,8.88
407,,,,7.78,8.67,8.88
408,,,,10.0,9.78,9.5
409,,,,5.22,,
410,,,,5.44,6.56,5.88
411,,,,5.67,6.56,5.88
412,,,,7.44,8.22,8.12
413,,,,8.89,9.0,7.5
414,,,,8.11,7.78,7.5
415,,,5.0,4.0,,
416,,,,5.44,6.89,8.0
417,,,,6.67,8.78,8.62
418,,,5.0,5.0,6.0,4.88
419,,,,8.22,8.33,7.12
420,,,,5.89,6.22,7.12
421,,,,7.33,8.21,8.25
422,,,,6.67,6.67,6.62
423,,,,9.89,9.67,9.62
424,,,,7.56,7.89,6.5
425,,,5.5,5.56,6.09,4.75
426,,,5.5,4.67,6.67,6.5
427,,,,7.22,8.22,8.75
428,,,,6.67,6.78,7.12
429,,,,7.44,8.0,8.12
430,,,,9.11,8.44,8.25
431,,,,6.78,8.0,7.75
432,,,,9.11,9.56,8.62
433,,,,7.0,8.11,7.12
434,,,,8.33,9.12,8.0
435,,,,6.0,5.78,6.0
436,,,,8.11,8.56,8.12
437,,,,8.33,8.89,9.0
438,,,,5.44,6.75,5.5
439,,,,6.0,5.57,5.62
440,,,,9.11,9.0,9.38
441,,,,6.0,7.67,7.12
442,,,,6.89,8.33,8.5
443,,,,7.11,7.89,8.75
444,,,,7.67,7.89,8.38
445,,,,7.67,7.33,6.75
446,,,,9.44,9.89,9.62
447,,,7.0,6.56,5.78,5.62
448,,,,8.22,9.0,9.12
449,,,,7.56,,
450,,,,7.67,7.0,
451,,,,6.78,8.33,8.38
452,,,,7.78,7.44,5.25
453,,,,8.11,9.0,9.12
454,,,,6.78,7.78,6.5
455,,,,7.11,7.07,9.12
456,,,,5.56,6.22,6.5
457,,,,6.11,6.89,7.25
458,,,,,6.44,7.0
459,,,,,6.56,6.88
460,,,,,2.11,
461,,,,,7.22,7.5
462,,,,,6.44,7.38
463,,,,,9.0,9.75
464,,,,,6.0,5.5
465,,,,,4.07,4.88
466,,,,,6.11,6.38
467,,,,,6.0,5.0
468,,,,,7.22,6.88
469,,,,,0.0,
470,,,,,0.0,
471,,,,,7.0,7.88
472,,,,,3.44,
473,,,,,0.75,
474,,,,,3.78,
475,,,,,1.89,
476,,,,,6.0,5.62
477,,,,,2.0,
478,,,,,10.0,10.0
479,,,,,5.33,3.12
480,,,,,3.44,
481,,,,,1.89,
482,,,,,8.44,9.12
483,,,,,6.33,7.62
484,,,,,7.89,
485,,,,,6.78,7.12
486,,,,,8.89,9.75
487,,,,,7.78,8.0
488,,,,,6.78,7.12
489,,,,,0.0,
490,,,,,7.44,
491,,,,,6.78,7.0
492,,,,,4.67,
493,,,,,,9.12
494,,,,,6.0,4.88
495,,,,,5.0,6.12
496,,,,,4.78,2.75
497,,,,,,8.25
498,,,,,,5.0
499,,,,,,6.12
500,,,,,,7.25
501,,,,,,8.5
502,,,,,6.0,7.0
503,,,,,,0.88
504,,,,,7.11,7.62
505,,,,,,6.5
506,,,,,5.33,3.88
507,,,,,2.5,4.25
508,,,,,6.33,2.62
509,,,,,,6.0
510,,,,,5.5,5.38
511,,,,,,5.88
512,,,,,,3.67
513,,,,,7.67,6.25
514,,,,,8.89,8.0
515,,,,,5.11,
516,,,,,7.0,7.38
517,,,,,6.67,6.0
518,,,,,8.67,9.5
519,,,,,7.33,7.12
520,,,,,6.44,6.0
521,,,,,9.89,10.0
522,,,,,8.33,8.62
523,,,,,8.0,8.38
524,,,,,7.33,6.88
525,,,,,7.11,7.25
526,,,,,7.67,7.25
527,,,,,8.89,9.62
528,,,,,10.0,10.0
529,,,,,7.56,6.62
530,,,,,8.0,7.75
531,,,,,8.22,9.62
532,,,,,9.11,9.62
533,,,,,7.22,7.5
534,,,,,6.11,6.0
535,,,,,8.0,8.25
536,,,,,8.0,9.25
537,,,,,7.89,8.38
538,,,,,7.0,6.12
539,,,,,6.22,
540,,,,,,8.0
541,,,,,,6.88
542,,,,,,9.5
543,,,,,,8.25
544,,,,,5.5,6.0
545,,,,,,7.25
546,,,,,,10.0
547,,,,,,6.88
548,,,,,,9.75
549,,,,,,7.12
550,,,,,,9.5
551,,,,,,7.5
552,,,,,,7.38
553,,,,,,6.0
554,,,,,,7.0
555,,,,,,9.5
556,,,,,,7.88
557,,,,,,10.0
558,,,,,,6.62
559,,,,,,8.12
560,,,,,,8.5
561,,,,,,9.75
562,,,,,,8.0
563,,,,,,8.38
564,,,,,,8.5
565,,,,,,8.5
566,,,,,6.33,7.5
567,,,,,0.0,
568,,,,,3.11,
569,,,,,8.67,9.12
570,,,,,7.11,8.12
571,,,,,5.67,5.88
572,,,,,4.56,3.33
573,,,,,3.67,
574,,,,,6.11,6.25
575,,,,,4.33,1.38
576,,,,,2.33,
577,,,,,0.67,
578,,,,,3.11,
579,,,,,6.89,6.5
580,,,,,4.0,
581,,,,,7.11,7.0
582,,,,,6.11,5.75
583,,,,,6.89,8.25
584,,,,,5.56,5.88
585,,,,,4.44,
586,,,,,3.89,1.25
587,,,,,6.33,7.25
588,,,,,7.67,7.75
589,,,,,6.22,6.12
590,,,,,4.78,5.75
591,,,,,0.56,
592,,,,,5.67,5.25
593,,,,,7.78,8.25
594,,,,,5.44,5.25
595,,,,,6.55,6.38
596,,,,,7.56,7.0
597,,,,,5.56,
598,,,,,0.56,
599,,,,,6.56,7.5
600,,,,,5.78,5.5
601,,,,,0.0,
602,,,,,6.44,6.5
603,,,,,5.5,5.62
604,,,,,6.0,5.62
605,,,,,5.11,1.88
606,,,,,5.67,7.38
607,,,,,5.22,5.75
608,,,,,6.78,6.38
609,,,,,6.0,6.5
610,,,,,6.0,6.12
611,,,,,5.78,5.5
612,,,,,5.56,5.5
613,,,,,7.33,7.38
614,,,,,6.33,5.88
615,,,,,2.78,
616,,,,,8.56,8.88
617,,,,,5.56,5.62
618,,,,,6.67,5.88
619,,,,,5.0,5.25
620,,,,,5.3,5.38
621,,,,,6.0,5.62
622,,,,,5.67,6.75
623,,,,,5.89,3.25
624,,,,,6.33,6.12
625,,,,,7.44,7.25
626,,,,,5.27,5.38
627,,,,,2.67,
628,,,,,6.56,6.75
629,,,,,4.78,
630,,,,,6.11,5.75
631,,,,,6.89,7.38
632,,,,,3.67,
633,,,,,6.0,5.88
634,,,,,6.89,6.25
635,,,,,6.08,5.38
636,,,,,2.56,
637,,,,,,4.25
638,,,,,6.0,6.25
639,,,,,6.44,7.38
640,,,,,,6.5
641,,,,,,5.62
642,,,,,0.0,2.88
643,,,,,7.11,6.25
644,,,,,0.0,0.88
645,,,,,,6.5
646,,,,,5.0,5.25
647,,,,,5.0,7.0
648,,,,,0.0,0.75
649,,,,,5.0,6.0
650,,,,,5.0,5.75
651,,,,,6.5,5.75
652,,,,,,6.5
653,,,,,,5.38
654,,,,,5.0,6.0
655,,,,,,5.5
656,,,,,5.0,5.12
657,,,,,5.78,5.75
658,,,,,6.89,5.62
659,,,,,0.0,0.0
660,,,,,2.0,3.6
661,,,,,,6.38
662,,,,,,8.88
663,,,,,5.67,5.75
664,,,,,,7.62
665,,,,,,7.38
666,,,,,6.0,5.75
667,,,,,5.89,6.5
668,,,,,5.0,5.12
669,,,,,,6.88
670,,,,,6.22,6.5
671,,,,,6.0,3.89
672,,,,,5.0,5.38
673,,,,,5.0,5.5
674,,,,,5.89,6.38
675,,,,,,6.25
676,,,,,5.0,5.38
677,,,,,5.56,3.12
678,,,,,,7.5
679,,,,,5.56,6.0
680,,,,,5.0,5.12
681,,,,,6.62,5.62
682,,,,,6.0,6.0
683,,,,,5.0,5.5
684,,,,,6.78,6.62
685,,,,,,5.75
686,,,,,,5.5
687,,,,,0.0,0.0
688,,,,,,7.0
689,,,,,5.0,5.5
690,,,,,5.33,5.25
691,,,,,,6.88
692,,,,,5.78,6.62
693,,,,,,5.75
694,,,,,,8.0
695,,,,,9.56,9.88
696,,,,,7.78,7.25
697,,,,,8.0,7.12
698,,,,,9.44,9.88
699,,,,,8.67,9.0
700,,,,,6.3,5.88
701,,,,,7.67,7.5
702,,,,,9.0,8.62
703,,,,,9.22,9.38
704,,,,,8.44,8.62
705,,,,,7.44,8.0
706,,,,,9.22,8.62
707,,,,,,8.0
708,,,,,,6.75
709,,,,,,9.75
710,,,,,,8.62
711,,,,,,6.0
712,,,,,,8.5
713,,,,,,8.25
714,,,,,,8.5
715,,,,,,10.0
832,7.1,7.6,6.64,6.56,,
