alumno,media_1E,media_2E,media_3E,media_4E,media_1B,media_2B
833,7.4,6.8,7.09,7.56,6.22,6.5
834,2.9,1.92,,,,
835,3.64,3.6,,,,
836,2.45,2.09,,,,
837,6.6,4.7,2.58,3.0,,
838,5.4,2.2,3.0,,,
839,4.82,3.91,,,,
840,1.64,2.3,,,,
841,1.8,1.07,,,,
842,1.9,1.08,,,,
843,0.91,1.3,,,,
844,5.0,3.2,1.91,,,
845,5.9,4.18,2.73,,,
846,1.0,,,,,
847,7.8,6.5,6.91,7.44,7.11,8.12
848,5.7,5.4,4.92,4.22,,
849,6.3,4.3,3.82,,,
850,6.1,4.4,5.64,5.67,,
851,5.17,5.3,5.09,,,
852,6.1,3.8,4.82,,,
853,1.0,1.2,,,,
854,,,,5.44,6.3,5.88
855,2.3,1.85,,,,
856,4.7,5.4,2.18,1.0,,
857,1.18,2.9,,,,
858,9.2,8.1,6.64,5.44,5.9,6.62
859,3.8,,,,,
860,8.1,6.9,6.73,6.56,,
861,8.8,8.3,7.55,8.44,8.44,9.12
862,6.2,3.36,3.09,,,
863,6.5,6.7,5.09,4.11,,
864,5.0,3.58,3.55,4.11,,
865,5.3,4.9,5.36,6.11,,
866,6.0,5.1,5.23,4.78,,
867,6.9,5.9,5.91,4.67,4.44,4.75
868,5.5,4.18,2.18,,,
869,6.7,3.9,,,,
870,5.6,,,,,
871,,4.0,5.62,5.54,,
872,2.1,1.33,,,,
873,,,6.18,6.11,,
874,0.0,,,,,
875,5.8,5.6,5.55,4.78,4.0,4.38
876,3.27,4.91,5.25,5.78,,
877,8.0,7.7,8.36,7.33,8.44,9.0
878,1.0,0.0,,,,
879,,6.2,5.64,4.11,5.16,4.7
880,3.0,3.27,,,,
881,,,7.55,7.0,,
882,,,5.82,,,
883,,,5.45,5.89,,
884,,1.0,4.36,4.0,,
885,,,4.88,5.67,3.22,
886,,,4.0,5.78,,
887,,,6.0,7.56,6.67,7.5
888,,,,2.0,,
889,8.4,,,,,
890,8.8,8.5,7.27,9.44,9.22,9.0
891,6.7,6.8,6.82,6.11,5.78,6.0
892,8.5,7.9,7.73,7.56,7.78,7.25
893,6.8,6.1,5.36,5.33,5.56,6.0
894,6.2,5.2,4.73,5.56,4.67,4.38
895,8.0,6.4,6.45,7.67,7.22,7.25
896,7.3,,,,,
897,9.0,5.5,6.36,6.78,6.22,6.12
898,7.4,6.8,7.09,6.11,6.67,8.25
899,9.0,8.1,7.91,8.44,7.89,8.0
900,7.7,7.4,7.55,7.89,7.22,6.38
901,7.4,6.5,6.64,5.0,5.33,5.38
902,7.3,7.4,7.09,7.11,6.56,6.88
903,8.1,6.8,6.18,7.11,8.22,9.25
904,7.1,8.0,7.0,7.11,7.44,7.62
905,8.4,8.2,6.45,,,
906,6.4,5.5,5.55,5.11,4.89,3.62
907,7.1,7.7,7.09,,,
908,7.5,7.3,6.27,,,
909,5.5,4.7,2.58,,,
910,7.3,5.2,5.0,7.11,7.11,6.5
911,7.4,,,,,
912,9.4,8.9,8.73,8.11,8.78,8.5
913,8.8,7.7,7.64,6.89,7.56,7.62
914,9.8,9.1,9.0,8.67,8.22,8.62
915,6.9,6.7,6.09,7.33,6.89,6.0
916,7.5,7.9,7.18,7.11,6.22,7.88
917,8.7,7.8,7.18,6.78,6.78,5.38
918,9.1,7.8,6.64,6.67,6.89,7.62
919,6.3,4.8,4.64,4.55,3.6,
920,9.3,9.3,9.09,9.0,9.22,9.75
921,6.8,6.3,5.55,5.67,6.78,7.25
922,6.8,6.6,6.27,4.67,5.89,7.0
923,5.8,5.5,5.25,6.22,6.4,6.4
924,6.1,4.8,2.08,,,
925,6.8,6.2,5.27,5.78,6.22,7.0
926,6.0,5.5,,,,
927,7.9,7.8,7.45,8.78,8.56,8.62
928,9.4,6.8,6.5,7.67,6.44,7.88
929,7.4,7.0,6.82,5.78,6.0,6.12
930,8.1,7.8,8.45,8.11,8.22,8.75
931,8.9,7.4,6.91,7.22,6.0,6.5
932,7.8,7.7,6.45,8.11,7.56,8.38
933,6.7,6.3,4.91,5.38,,
934,7.1,6.7,5.73,7.33,7.22,8.0
935,8.4,6.6,5.64,,,
936,8.4,6.4,6.0,7.0,6.22,7.0
937,7.9,7.8,6.36,5.56,5.89,8.0
938,8.5,8.3,8.36,8.22,,
939,6.1,6.6,4.55,4.22,,
940,9.2,8.3,8.18,7.44,,
941,10.0,9.7,9.0,9.11,8.22,
942,7.8,7.7,7.36,6.33,6.67,7.38
943,8.9,8.6,7.64,9.33,8.56,9.25
944,8.8,7.8,6.09,7.78,6.78,7.62
945,5.9,5.3,5.5,5.22,,
946,8.8,7.0,5.91,4.56,5.67,6.0
947,7.2,5.3,5.64,5.78,5.89,5.75
948,6.6,6.7,,,,
949,7.1,7.3,5.91,6.11,6.33,7.0
950,7.8,7.6,6.64,6.78,7.33,8.25
951,6.1,6.4,5.18,3.89,4.26,1.82
952,6.8,5.4,4.64,5.22,6.22,6.12
953,5.9,5.4,5.36,4.67,1.88,
954,7.3,7.5,6.82,7.11,6.44,5.5
955,,,5.18,5.23,6.11,5.62
956,,,,7.89,,
957,,,,,0.56,
958,,,,,0.67,
959,,,,,6.0,6.75
960,,,,,,1.89
961,,,,,0.0,0.0
962,,,,,7.89,8.62
963,,,,,6.67,6.38
964,,,,,5.78,
965,,,,,9.89,9.88
966,,,,,5.78,4.88
967,,,,,5.33,5.0
968,,,,,6.44,4.75
969,,,,,5.22,4.75
970,,,,,,4.11
971,,,,,,8.5
972,,,,,,0.0
973,,,,,,8.12
974,,,,,,3.56
975,,,,,5.67,6.25
976,,,,,8.33,8.5
977,,,,,6.89,6.38
978,,,,,8.56,7.0
979,,,,,9.22,9.75
980,,,,,9.33,9.12
1035,6.5,5.7,4.73,,,
1036,,4.0,6.18,4.89,,
1037,6.5,5.8,6.27,5.78,,
1038,5.4,3.27,3.38,,,
1039,7.0,4.8,,,,
1040,2.55,1.82,,,,
1041,4.27,1.4,,,,
1042,6.3,5.1,4.45,2.89,,
1043,3.27,1.7,,,,
1044,6.3,4.9,2.0,,,
1045,3.7,4.0,3.64,4.0,,
1046,5.0,2.55,1.91,,,
1047,2.64,2.3,,,,
1048,4.3,3.09,,,,
1049,6.5,5.7,5.64,5.57,,
1050,3.67,2.9,,,,
1051,6.5,6.1,5.73,6.33,,
1052,5.6,6.6,5.45,7.11,,
1053,1.0,1.1,,,,
1054,3.5,2.3,,,,
1055,4.5,6.09,4.82,5.11,5.7,4.2
1056,5.6,6.4,5.18,7.22,,
1057,5.9,2.36,,,,
1058,4.0,3.9,,,,
1059,5.9,5.4,5.23,6.44,,
1060,3.3,,,,,
1061,2.2,1.9,,,,
1062,5.7,6.4,4.82,5.9,,
1063,6.0,5.9,4.86,6.11,,
1064,3.8,,,,,
1065,6.3,6.1,2.73,,,
1066,4.9,4.1,,,,
1067,6.6,4.6,4.07,5.0,,
1068,4.6,4.6,4.45,,,
1069,3.1,3.2,,,,
1070,8.5,7.3,5.36,,,
1071,6.2,5.2,3.67,6.33,,
1072,3.8,1.6,,,,
1073,4.4,4.18,4.12,,,
1074,4.5,4.8,5.36,,,
1075,2.91,1.9,,,,
1076,5.0,4.6,4.57,5.11,,
1077,5.6,3.73,4.18,,,
1078,,,5.0,3.67,,
1079,5.8,6.4,5.33,5.44,,
1080,5.9,5.5,4.82,5.78,4.1,5.4
1081,1.0,1.0,,,,
1082,6.3,5.6,5.82,5.44,,
1083,,5.6,4.64,4.11,5.0,
1084,3.0,2.92,,,,
1085,,5.3,6.55,6.56,6.22,5.62
1086,,7.1,5.82,5.89,6.56,7.75
1087,,4.5,,,,
1088,,,5.09,5.9,,
1089,,,4.73,,,
1090,,,3.45,,,
1091,,5.0,5.0,4.56,,
1092,,,,7.22,4.7,4.62
1093,,,,2.0,,
1094,,,,2.44,,
1095,,,,3.44,,
1096,,,,2.56,,
1097,,,3.55,,,
1098,0.0,0.0,,,,
1099,0.0,0.0,,,,
1100,0.0,0.0,,,,
1101,,0.0,0.0,,,
1102,7.7,7.5,7.82,7.44,7.1,7.3
1103,7.5,7.5,6.91,7.0,5.9,6.9
1104,6.6,5.5,5.18,5.33,,
1105,6.5,6.6,5.36,5.33,5.3,5.6
1106,6.4,6.7,6.18,7.33,6.4,6.4
1107,7.9,6.8,7.18,6.67,,
1108,6.6,5.6,4.82,4.0,5.18,6.5
1109,9.1,9.0,9.36,9.44,,
1110,7.1,5.6,6.82,6.33,,
1111,8.0,7.3,7.18,6.89,6.5,7.4
1112,6.0,4.3,4.18,,,
1113,6.3,4.9,4.83,4.33,3.82,1.5
1114,5.5,5.9,5.27,5.78,3.1,
1115,5.6,7.75,6.82,7.44,7.1,6.1
1116,4.36,4.1,3.75,,,
1117,4.8,,,,,
1118,3.8,1.4,3.62,,,
1119,5.3,6.1,5.82,6.33,5.5,6.9
1120,5.4,4.4,,,,
1121,9.5,9.7,9.36,8.78,7.5,8.6
1122,5.8,5.8,5.31,5.89,,
1123,4.4,4.7,,,,
1124,8.6,8.5,8.73,8.33,7.9,7.9
1125,5.2,3.73,2.88,,,
1126,5.8,6.2,5.27,5.77,,
1127,4.5,1.0,0.91,,,
1128,6.6,5.4,5.77,7.33,,
1129,7.8,8.0,8.18,8.22,6.5,7.9
1130,5.4,5.6,6.0,5.78,,
1131,6.1,6.9,7.55,6.44,4.8,7.2
1132,7.8,7.8,8.64,8.44,6.64,8.3
1133,6.4,4.83,5.91,6.22,4.44,
1134,6.2,6.7,7.55,6.67,6.8,7.6
1135,6.9,7.2,6.36,7.56,7.0,7.5
1136,6.3,7.5,6.64,7.44,6.36,7.8
1137,6.5,7.3,6.0,8.33,,
1138,6.4,4.8,7.36,6.67,5.8,7.0
1139,9.5,9.6,9.73,8.78,8.2,9.7
1140,5.6,2.75,,,,
1141,6.9,6.0,4.73,5.92,,
1142,7.5,7.8,7.82,8.78,8.3,8.7
1143,6.3,6.5,5.36,6.67,5.6,6.0
1144,,,7.09,8.44,8.11,8.5
1145,,,7.73,7.0,,
1146,,,6.64,7.0,,
1147,,,,8.0,7.78,7.5
1148,,,,1.11,,
1149,6.1,6.4,6.0,5.67,6.3,8.1
1150,4.8,6.4,5.91,6.33,5.6,6.4
1151,8.2,8.56,8.5,8.11,6.0,8.5
1152,6.4,3.82,,,,
1153,6.8,7.1,6.55,6.56,6.9,8.4
1154,5.1,5.8,4.73,5.33,,
1155,5.7,6.5,5.91,,,
1156,7.0,8.3,9.18,8.56,7.4,7.8
1157,8.3,8.9,8.36,8.56,7.7,8.3
1158,5.7,4.6,5.15,8.11,,
1159,5.64,6.1,5.18,5.0,,
1160,7.6,8.0,8.18,8.56,8.3,8.6
1161,6.0,6.2,6.18,6.22,6.18,4.7
1162,6.74,4.95,3.41,5.6,,
1163,4.5,6.3,5.82,7.0,6.1,7.1
1164,6.3,6.7,5.73,7.44,6.5,6.7
1165,6.2,6.2,5.82,7.17,6.0,5.9
1166,6.5,6.7,6.73,7.22,,
1167,8.8,9.0,8.82,8.11,7.8,9.5
1168,8.7,7.44,7.18,6.56,5.9,8.1
1169,8.3,8.5,7.91,7.44,7.0,7.9
1170,7.1,8.0,7.45,7.0,6.2,7.9
1171,5.5,6.5,6.55,6.56,6.8,8.1
1172,7.0,7.5,4.73,5.78,,
1173,7.2,5.9,5.64,7.89,,
1174,7.8,7.8,8.45,7.67,6.6,7.5
1175,7.6,8.1,7.82,7.22,6.9,7.9
1176,7.1,,,,,
1177,6.5,6.7,4.36,6.5,6.9,6.7
1178,8.3,8.33,8.82,8.11,5.9,9.2
1179,6.3,6.4,7.18,7.56,6.6,8.3
1180,8.9,9.4,9.09,8.89,8.4,9.6
1181,7.6,8.5,7.91,8.11,8.0,9.0
1182,7.1,7.6,7.27,6.56,6.3,6.6
1183,5.9,6.9,5.36,6.33,,
1184,6.7,7.7,6.73,6.33,5.18,5.9
1185,8.1,8.4,9.09,8.44,8.0,9.1
1186,9.0,8.78,8.0,8.44,6.5,8.2
1187,6.8,7.7,8.55,8.67,7.5,8.4
1188,5.23,4.1,2.0,,,
1189,4.1,5.8,5.09,4.56,5.23,4.4
1190,3.9,,,,,
1191,8.7,9.7,8.09,7.78,7.2,9.3
1192,7.8,6.8,3.69,6.44,5.0,5.3
1193,7.8,6.9,6.73,6.78,6.18,7.7
1194,9.2,9.2,8.64,8.89,8.0,9.3
1195,7.4,7.6,7.36,8.11,7.4,8.7
1196,7.3,7.0,7.45,6.33,5.2,5.6
1197,,,,,9.0,8.5
1198,,,,,,9.25
1199,,,,,5.22,6.0
1200,,,,,6.78,6.38
1201,,,,,5.44,
1202,,,,,1.67,4.5
1203,,,,,6.56,7.25
1204,,,,,7.33,5.25
1205,,,,,6.56,5.5
1206,,,,,6.11,
1207,,,,,8.67,9.0
1208,,,,,5.22,
1209,,,,,6.22,5.75
1261,5.7,6.35,4.91,5.7,4.3,
1262,,,,6.0,5.4,
1263,5.0,4.4,4.73,4.44,,
1264,5.8,6.5,5.73,8.0,2.1,
1265,4.1,2.0,2.5,,,
1266,5.35,3.75,2.82,,,
1267,6.2,4.85,2.95,3.9,,
1268,4.82,3.9,,,,
1269,5.65,5.7,2.92,,,
1270,5.3,5.8,5.09,6.8,0.1,
1271,6.1,6.1,,,,
1272,4.18,4.1,,,,
1273,3.67,3.73,2.27,,,
1274,2.6,,,,,
1275,9.1,7.0,5.64,5.63,7.3,
1276,6.1,5.65,4.14,7.1,6.0,
1277,5.2,4.8,4.82,4.44,,
1278,5.91,5.4,4.36,,,
1279,3.3,3.9,,,,
1280,6.0,5.2,5.25,,,
1281,7.9,5.68,4.73,5.3,,
1282,0.9,,,,,
1283,5.0,5.59,5.45,,,
1284,5.3,6.0,5.62,4.6,,
1285,2.7,,,,,
1286,4.85,5.75,5.45,7.6,5.3,
1287,5.0,3.9,,,,
1288,4.8,6.4,5.91,5.0,3.3,
1289,6.45,5.95,4.95,5.4,,
1290,5.4,6.8,7.73,7.33,6.73,6.73
1291,2.82,3.6,,,,
1292,3.09,3.1,,,,
1293,7.1,7.7,6.73,9.0,,
1294,5.75,6.05,2.73,,,
1295,7.8,8.1,7.91,8.67,7.73,7.64
1296,6.1,5.9,5.55,7.11,,
1297,7.15,6.06,4.55,,,
1298,1.6,,,,,
1299,1.5,1.6,,,,
1300,1.0,1.7,0.82,,,
1301,1.0,1.6,,,,
1302,,2.09,,,,
1303,1.6,1.18,,,,
1304,,7.4,6.23,4.67,,
1305,1.8,4.2,,,,
1306,5.0,5.7,6.27,6.56,,
1307,,3.4,2.79,,,
1308,1.2,2.0,,,,
1309,,2.2,1.45,,,
1310,,,5.0,6.11,4.8,
1311,,,1.73,,,
1312,,,1.58,,,
1313,,,4.08,,,
1314,,5.0,3.17,3.22,,
1315,,,2.42,2.78,,
1316,2.0,1.0,1.36,2.11,,
1317,,,3.64,5.89,,
1318,,,1.73,,,
1319,,2.0,5.33,5.11,4.4,4.2
1320,,,2.33,3.0,,
1321,,,6.0,5.44,6.0,7.3
1322,,,,3.56,,
1323,,,,1.89,,
1324,,,,1.67,,
1325,,,,1.78,,
1326,,,,2.08,,
1327,,,,3.33,,
1328,,,,1.67,,
1329,,,,1.56,,
1330,0.0,,,,,
1331,6.2,6.6,5.36,6.22,6.64,6.0
1332,8.5,8.9,9.0,9.11,9.27,9.09
1333,4.9,4.53,2.27,,,
1334,8.8,8.3,7.55,7.78,5.58,5.4
1335,7.9,9.6,8.82,8.89,8.1,8.18
1336,5.9,5.1,5.18,6.0,5.7,
1337,6.3,6.4,5.36,5.89,7.0,
1338,8.6,7.3,,,,
1339,4.9,3.1,,,,
1340,5.3,5.09,5.55,4.77,,
1341,8.4,8.7,7.91,7.67,7.0,5.82
1342,7.7,7.2,6.45,7.33,,
1343,6.7,5.7,5.91,7.78,7.09,5.91
1344,6.6,5.5,4.45,4.05,,
1345,5.1,5.5,5.45,4.74,4.9,
1346,5.8,5.8,6.09,4.67,4.89,5.3
1347,5.19,4.95,6.36,8.1,5.8,
1348,6.1,5.8,5.91,6.0,,
1349,7.3,8.0,7.82,7.33,7.4,7.2
1350,6.6,6.2,6.0,5.89,6.5,5.73
1351,7.5,8.6,7.82,7.89,7.55,7.64
1352,8.1,6.9,6.64,,,
1353,8.7,9.1,8.73,8.89,8.82,9.09
1354,7.05,6.55,5.55,4.74,,
1355,6.3,5.75,6.18,8.2,,
1356,6.5,4.85,3.82,5.1,,
1357,7.6,8.1,8.09,7.33,8.0,7.3
1358,6.6,6.55,6.36,6.26,,
1359,5.2,,,,,
1360,7.9,6.8,6.0,6.0,6.1,6.2
1361,6.8,6.5,6.0,5.89,7.4,7.2
1362,7.4,8.4,8.45,7.89,8.5,8.6
1363,5.0,5.6,4.64,,,
1364,7.1,8.0,7.27,8.11,8.9,8.5
1365,5.7,6.7,5.82,6.11,6.36,6.5
1366,8.8,8.8,8.91,8.67,7.5,7.0
1367,5.6,4.9,4.82,6.44,5.82,5.6
1368,6.6,6.8,6.27,6.78,,
1369,5.7,5.1,6.09,5.78,5.82,6.8
1370,9.6,9.9,9.73,9.67,8.8,8.45
1371,6.1,6.0,5.55,5.56,,
1372,6.1,4.8,4.18,5.11,2.89,
1373,7.2,6.6,5.55,6.56,,
1374,1.3,,,,,
1375,8.3,6.3,6.14,4.47,,
1376,6.6,6.0,5.55,7.0,,7.7
1377,8.4,8.9,8.45,8.33,7.55,7.1
1378,8.1,7.7,7.09,8.0,8.6,8.7
1379,7.4,7.8,6.55,7.0,7.6,7.3
1380,5.45,5.15,4.32,4.8,4.8,
1381,8.1,6.8,6.27,5.89,5.67,4.1
1382,5.8,5.8,5.82,6.11,6.73,5.64
1383,6.2,6.2,4.27,,,
1384,6.8,6.3,5.45,5.67,,
1385,4.3,2.5,,,,
1386,8.1,7.1,6.27,8.11,8.0,8.8
1387,6.7,6.3,5.5,5.4,,
1388,7.2,5.65,4.5,5.7,,
1389,5.6,5.0,4.64,6.78,6.4,6.9
1390,8.0,6.2,5.91,6.11,5.73,6.6
1391,6.3,5.4,4.64,5.7,,
1392,5.4,5.8,3.64,3.11,6.5,6.3
1393,6.8,8.3,7.82,8.11,7.18,6.27
1394,5.9,5.2,6.18,6.11,6.0,6.8
1395,5.4,1.82,,,,
1396,4.9,4.75,,,,
1397,7.0,4.95,4.95,2.47,,
1398,7.0,7.9,8.27,9.11,9.1,9.2
1399,7.8,8.1,7.36,8.22,8.5,8.6
1400,5.3,5.6,5.09,4.78,,
1401,5.2,7.2,5.09,4.78,5.2,5.7
1402,4.8,5.1,4.91,5.44,6.1,5.3
1403,5.15,5.71,5.91,6.6,,
1404,7.6,5.7,5.36,7.11,,
1405,6.75,5.1,5.23,6.8,6.5,
1406,5.9,6.3,5.82,6.0,,
1407,5.5,5.8,5.73,5.22,5.9,4.9
1408,6.7,6.2,5.36,5.89,6.6,7.1
1409,6.4,5.4,5.36,5.22,4.33,
1410,2.92,3.5,,,,
1411,8.7,7.9,8.36,8.67,7.73,8.09
1412,5.8,6.1,5.55,6.22,6.1,5.6
1413,9.7,7.4,7.09,8.11,7.36,6.91
1414,5.32,4.47,2.47,,,
1415,,1.58,,,,
1416,,,5.18,5.44,6.33,5.12
1417,,,1.0,3.0,,
1418,,,3.0,4.33,,
1419,5.9,5.95,5.0,5.1,,
1420,6.45,5.9,5.59,7.5,6.6,
1421,6.7,6.2,6.18,7.0,,
1422,7.6,6.5,5.36,6.78,6.9,7.0
1423,8.8,9.3,9.0,9.44,9.31,8.3
1424,8.2,7.2,7.27,6.44,6.5,6.3
1425,8.6,8.6,8.18,8.44,8.89,9.11
1426,7.1,8.0,7.18,7.78,8.2,7.7
1427,7.1,5.9,5.45,5.67,5.5,6.1
1428,7.3,7.0,6.82,7.0,7.7,6.7
1429,9.2,8.7,9.09,8.56,8.6,8.9
1430,6.9,6.8,5.91,5.0,6.6,7.2
1431,7.5,7.7,6.73,7.89,7.6,7.6
1432,7.5,6.2,6.0,5.89,5.6,5.6
1433,6.35,6.0,3.95,6.6,5.82,
1434,7.3,7.6,7.36,8.0,7.9,7.8
1435,9.2,8.3,8.36,7.56,8.4,8.9
1436,6.2,6.6,5.55,6.22,6.6,7.2
1437,7.5,6.9,7.09,7.33,,
1438,6.6,6.7,5.45,6.56,6.3,5.9
1439,8.0,8.0,7.27,8.0,8.45,8.0
1440,9.9,9.9,10.0,9.89,9.64,9.2
1441,7.9,6.55,5.59,5.21,,
1442,7.0,7.4,6.55,7.33,7.7,6.6
1443,9.0,8.4,9.18,8.33,9.33,9.0
1444,7.5,6.1,4.18,6.11,7.7,7.2
1445,5.85,6.48,5.27,6.8,,
1446,6.5,5.9,4.82,,,
1447,8.2,7.7,8.36,9.22,9.3,9.5
1448,8.8,9.1,8.18,8.44,9.3,9.3
1449,8.3,9.4,9.0,9.22,9.09,8.91
1450,8.3,8.6,8.27,8.56,8.9,9.1
1451,6.7,6.8,7.18,8.33,8.0,8.6
1452,7.7,6.5,6.27,6.11,5.5,6.09
1453,7.4,8.4,7.55,8.33,8.7,9.0
1454,8.3,8.7,7.91,8.44,9.0,9.1
1455,7.7,6.5,6.0,5.44,,
1456,5.7,5.7,6.45,6.89,6.8,6.9
1457,1.0,3.71,2.73,1.1,,
1458,,,,,4.23,3.5
1459,,,,,4.33,3.75
1460,,,,,4.58,4.75
1461,,,,,0.29,
1462,,,,,5.5,5.75
1463,,,,,6.78,7.5
1464,,,,,,5.25
1465,,,,,8.33,
1516,5.8,4.85,5.73,5.3,,
1517,4.2,4.7,,,,
1518,4.75,4.55,4.55,5.3,,
1519,4.95,5.33,4.0,,,
1520,5.9,5.5,5.45,5.9,,
1521,6.45,6.8,6.09,5.8,,
1522,5.1,2.0,,,,
1523,6.3,5.4,4.85,6.0,,
1524,4.8,2.9,,,,
1525,5.5,4.27,,,,
1526,7.45,6.3,5.45,7.0,,
1527,3.6,5.2,,,,
1528,5.9,4.75,4.27,5.08,,
1529,5.4,5.22,3.18,,,
1530,5.8,5.6,3.62,,,
1531,4.09,3.7,,,,
1532,5.7,5.6,5.27,6.7,5.6,
1533,4.64,,,,,
1534,3.17,4.4,,,,
1535,3.0,3.6,,,,
1536,5.6,5.15,5.55,6.6,,
1537,6.35,5.25,5.36,6.3,2.44,
1538,2.67,2.14,,,,
1539,3.7,4.2,,,,
1540,4.9,2.18,,,,
1541,3.67,2.2,,,,
1542,6.3,5.75,2.42,6.5,,
1543,4.45,6.09,4.0,,,
1544,4.36,4.4,,,,
1545,2.91,2.8,,,,
1546,4.7,4.3,,,,
1547,3.2,3.5,,,,
1548,5.3,5.1,4.64,,,
1549,4.95,4.71,3.36,,,
1550,5.65,7.0,5.45,6.3,4.8,
1551,4.6,3.8,,,,
1552,4.82,4.4,,,,
1553,7.4,7.15,5.55,6.7,1.45,
1554,5.6,6.5,6.18,,,
1555,6.85,5.65,5.27,,,
1556,5.0,6.7,4.91,1.44,,
1557,1.0,2.3,,,,
1558,5.0,3.7,,,,
1559,,,2.36,,,
1560,,,2.27,,,
1561,,,6.0,4.78,,
1562,,,,1.67,,
1563,,,1.0,5.11,,
1564,,,,1.78,,
1565,,,,2.54,,
1566,,,3.0,1.22,,
1568,8.85,7.4,6.82,7.7,7.27,
1569,6.8,5.45,7.0,6.6,,
1570,7.8,6.9,7.36,6.6,7.5,
1571,8.3,6.85,6.36,8.1,7.9,
1572,8.45,8.35,8.45,8.2,8.55,
1573,7.15,6.9,4.0,5.5,6.0,
1574,6.55,6.3,4.64,6.7,,
1575,6.25,5.95,5.27,6.2,5.6,
1576,9.6,9.2,7.45,8.5,,
1577,6.6,5.85,4.09,5.8,5.3,
1578,5.05,6.82,6.73,,,
1579,8.8,7.1,4.64,5.2,5.8,
1580,5.65,4.65,4.09,,,
1581,7.55,7.45,6.91,7.9,7.4,
1582,4.55,5.95,3.91,,,
1583,7.9,6.25,6.55,6.4,5.1,
1584,7.15,7.1,6.18,7.2,6.2,
1585,1.31,1.33,,,,
1586,6.5,6.2,5.27,6.8,6.1,
1587,5.8,5.06,2.45,,,
1588,8.45,8.55,8.36,8.1,8.09,
1589,6.35,6.15,5.64,6.4,7.2,
1590,7.95,7.55,4.73,5.7,5.6,
1591,7.85,7.35,6.18,6.5,7.8,
1592,6.4,6.0,4.33,,,
1593,7.0,6.1,5.73,5.6,6.3,
1594,7.8,7.85,7.55,8.1,8.0,
1595,5.95,4.55,1.58,,,
1596,6.05,6.9,6.75,6.4,,
1597,7.1,5.65,4.64,6.4,,
1598,7.25,7.2,7.27,6.0,,
1599,6.1,6.35,6.5,5.5,,
1600,7.7,8.15,8.18,7.8,7.4,
1601,5.9,5.2,3.91,4.71,,
1602,5.7,6.55,5.82,7.2,7.6,
1603,6.25,5.95,5.73,6.8,5.64,
1604,7.1,7.1,6.55,6.7,5.2,
1605,7.55,8.05,8.18,8.2,8.0,
1606,7.2,7.05,6.64,8.2,7.78,
1607,5.2,5.55,5.54,3.4,,
1608,7.7,6.8,6.64,6.5,7.1,
1609,6.2,6.55,5.27,6.2,6.36,
1610,9.85,9.8,9.55,8.9,,
1611,7.4,6.4,,,,
1612,7.85,8.35,8.09,8.7,8.55,
1613,7.75,8.2,7.27,7.9,7.6,
1614,6.7,7.35,5.45,6.1,6.1,
1615,6.65,6.75,6.0,7.3,,
1616,7.5,7.25,6.18,5.8,6.55,
1617,1.9,1.6,,,,
