"docente","materia","nota_media"
99,"AC2SE",0
99,"AC3SE",0
99,"AC4SE",0
99,"AF1SE",0
99,"AF2SE",0
99,"AF3SE",0
99,"AS1SE",0
99,"AS2SE",0
99,"AS3SE",0
99,"AS4SE",0
99,"EF1SE",0
99,"EF2SE",0
99,"EF3SE",0
99,"EF4SE",0
99,"GENERAL",0
99,"VS1SE",0
99,"VS2SE",0
99,"VS3SE",0
99,"VS4SE",0
100,"EA1SE",0
100,"EA2SE",0
100,"EA3SE",0
100,"EA4SE",0
100,"GENERAL",5.38
100,"MUS2E",6.56
101,"GENERAL",5.94
101,"PIB1E",5.94
102,"GENERAL",4.29
102,"MAA3E",5.26
102,"MAA4E",3.4
102,"MAT1E",3.6
102,"MAT2E",4.4
103,"GENERAL",7.06
103,"HIF2B",6.21
103,"PSI2B",8.33
107,"BGE1E",3.4
107,"BGE3E",5.17
107,"GENERAL",4.02
108,"EF1SE",0
108,"EF2SE",0
108,"EF4SE",0
108,"EFI1E",4.62
108,"EFI2E",5.67
108,"EFI4E",7.01
108,"GENERAL",5.59
109,"ATD1EA",0
109,"ATE1EA",8.7
109,"GENERAL",5.98
109,"GHI1E",5.34
109,"GHI1EA",4.98
109,"GHI2E",2.12
109,"GHI2EA",1.48
109,"GHI3E",6.43
109,"GHI3EA",4.15
109,"HES2B",7.05
109,"HES2BA",7
109,"HMC1B",3.83
109,"HMC1BA",3.25
110,"GENERAL",5.16
110,"IIN1E",6.63
110,"ISO2B",7.07
110,"ROB2E",6.19
110,"TEC1E",4.34
110,"TEC3E",4.42
111,"GENERAL",5.5
111,"LCL1E",5.5
112,"GENERAL",5.42
112,"PIB1B",8.33
112,"PIB1E",6.45
112,"PIB2B",7.84
112,"PIB4E",7.01
112,"PIN1B",5.38
112,"PIN1E",3.55
112,"PIN2B",6.62
112,"PIN2E",1.61
112,"PIN3E",3.57
112,"PIN4E",3.89
113,"GENERAL",7.95
113,"RC2SE",0
113,"REC1B",7.43
113,"REC1E",7.49
113,"REC2E",8.12
113,"REC3E",8.51
113,"REC4E",8.66
114,"GENERAL",6.5
114,"TEC1E",4.24
114,"TEC3E",6.03
114,"TIC1B",8.26
115,"GENERAL",6.24
115,"GHI4E",6.49
115,"VET1E",5.93
116,"GENERAL",6.63
116,"SFR1E",7.16
116,"SFR2E",5.51
116,"SFR4E",5.87
116,"VET1E",7.06
117,"GENERAL",5.1
117,"LCL1B",5.56
117,"LCL1BA",6.07
117,"LCL1E",5.08
117,"LCL1EA",7.75
117,"LCL2BA",6.17
117,"LCL2E",3.75
117,"LCL3E",3.97
117,"LCL3EA",4.22
117,"LCL4E",5.48
117,"LCL4EA",5.91
117,"RCC1E",3.61
118,"ATE3EA",9.67
118,"GENERAL",4.93
118,"MAA3E",5.64
118,"MAB3E",3.38
118,"MAB4E",3.91
118,"MAT1E",5.01
118,"MAT2E",4.17
118,"MAT2EA",4.99
118,"MAT3EA",4.81
118,"MCS1B",4.69
118,"MCS1BA",5.13
118,"MCS2B",4.59
118,"MTA4EA",5.19
119,"GENERAL",3.75
119,"PIN1E",3.75
120,"GENERAL",6.62
120,"MUS2E",6.21
120,"MUS3E",7.28
121,"GENERAL",5.88
121,"PIB1E",6.86
121,"PIN2E",3.9
121,"PIN3E",6.34
122,"GENERAL",6.14
122,"PIB1E",7.11
122,"PIB2E",6.47
122,"PIN2E",3.71
123,"GENERAL",4.35
123,"MAT2E",4.35
124,"FIQ3E",5.4
124,"GENERAL",5.4
125,"ATE4EA",8.15
125,"FIQ1B",5.54
125,"FIQ2E",5.85
125,"FIQ2EA",6.27
125,"FIQ3E",4.72
125,"FIQ3EA",4.2
125,"FIQ4E",5.14
125,"FIQ4EA",5.07
125,"GENERAL",5.74
126,"ECO1B",7.57
126,"ECO4E",7.35
126,"EEM2B",5.9
126,"FAG2B",8.07
126,"GENERAL",7.35
127,"AC1SE",0
127,"AC2SE",0
127,"AC3SE",0
127,"AC4SE",0
127,"AF1SE",0
127,"AF2SE",0
127,"AF3SE",0
127,"AS1SE",0
127,"AS2SE",0
127,"AS3SE",0
127,"AS4SE",0
127,"GENERAL",0
132,"EFI1E",5.08
132,"EFI2E",4.46
132,"GENERAL",4.8
133,"DCR3EA",8.44
133,"DIG4EA",7.75
133,"DYO1BA",8.22
133,"GENERAL",6.58
133,"IIN1E",6.36
133,"ISO2BA",7.99
133,"ROB2E",6.08
133,"TEC1E",4.83
133,"TEC3E",5.67
133,"TEC4E",5.41
133,"TIC1B",7.97
133,"TIC4E",7.41
133,"TYD1EA",5.06
133,"TYD3EA",6.4
134,"GENERAL",4.84
134,"PIB2E",6.46
134,"PIB4E",6.23
134,"PIN1E",3.58
134,"PIN2E",3.03
135,"ATD3EA",0
135,"GENERAL",5.09
135,"GHI1E",4.99
135,"GHI1EA",5.2
135,"GHI2E",3.24
135,"GHI4E",6.67
136,"ATE2EA",9.21
136,"ATE3EA",7.97
136,"GENERAL",5.56
136,"LEI1EA",5.34
136,"LEI2EA",4.61
136,"LEI3EA",6.18
136,"PIN1E",3.92
136,"PIN4E",3.51
137,"BGE1E",5.82
137,"BGE3E",4.06
137,"GENERAL",5.44
137,"IIN1E",5.88
137,"IIN2E",6.02
138,"GENERAL",6.43
138,"IIN1E",6.37
138,"TEC1E",4.57
138,"TIC2B",8.03
139,"AED3EA",8.26
139,"AED4E",8
139,"ATE2EA",7.69
139,"EFI1BA",6.78
139,"EFI1E",4.03
139,"EFI1EA",3.76
139,"EFI2E",4.94
139,"EFI2EA",5.49
139,"EFI3E",5.19
139,"EFI3EA",5.29
139,"EFI4E",6.2
139,"GENERAL",5.52
140,"GENERAL",7.93
140,"REC1B",8.53
140,"REC1E",7.65
140,"REC3E",7.73
141,"FIQ2E",3.62
141,"GENERAL",4.5
141,"IIN3E",5.17
141,"TEC1E",5.48
142,"GENERAL",5.73
142,"SFR1E",5.86
142,"SFR2E",5.69
142,"SFR3E",5.82
142,"SFR4E",5.53
143,"GENERAL",7.98
143,"SFR1E",8.19
143,"SFR3E",7.7
144,"GENERAL",5.14
144,"PIB1E",6.24
144,"PIB2E",6.16
144,"PIB3E",5.56
144,"PIN2E",2.91
145,"CAV3E",7.38
145,"EPV2E",5.33
145,"GENERAL",6.01
146,"GENERAL",4.92
146,"MUS2E",5.1
146,"MUS3E",4.21
147,"GENERAL",5.67
147,"LEI1BA",5.63
147,"LEI1EA",5.36
147,"LEI2EA",5.4
147,"LEI3EA",6.1
147,"PIB1B",6.58
147,"PIB1E",6.45
147,"PIB2E",6.2
147,"PIN1E",3.71
147,"PIN2E",4.11
147,"PIN4E",4.56
148,"GENERAL",5.21
148,"LCL1EA",5.64
148,"LCL2E",3.62
148,"LCL2EA",7.31
148,"LCL4E",4.17
149,"GENERAL",6.63
149,"VET2E",6.63
150,"GENERAL",6.43
150,"IIN2E",6.43
151,"ATD3EA",0
151,"GEG2B",7.05
151,"GEG2BA",7.03
151,"GENERAL",6.43
151,"GHI1E",6.06
151,"GHI1EA",6.85
151,"GHI2E",7.51
151,"GHI2EA",6.17
151,"GHI3E",4.71
151,"GHI3EA",7.09
151,"GHI4E",5.04
151,"HMC1B",8.05
151,"HMC1BA",7.95
151,"VET3E",4.8
152,"ECO1B",6.5
152,"ECO4E",5.79
152,"EEM2B",7.14
152,"FAG2B",7.86
152,"GENERAL",6.11
152,"IAE4E",4.08
154,"GENERAL",5.5
154,"PIB2E",5.5
155,"GENERAL",6.04
155,"LEI2EA",6.35
155,"LEI3EA",5.04
155,"PIN2B",6.81
157,"ECO4E",5.94
157,"FOP4EA",6.27
157,"GENERAL",6.14
161,"GENERAL",3.86
161,"MAT2EA",3.3
161,"MAT3EA",4.35
162,"EFI1E",5.29
162,"EFI3E",8.17
162,"EFI4E",6.31
162,"GENERAL",6.51
163,"CUA1B",7.2
163,"EPV1E",6.4
163,"GENERAL",6.6
164,"GENERAL",4.47
164,"LCL1B",4.11
164,"LCL1E",3.25
164,"LCL1EA",4.9
164,"LCL2E",4.83
164,"LCL3EA",4.7
164,"LCL4E",3.5
164,"LCL4EA",5.92
165,"GENERAL",4.44
165,"PIB3E",6.22
165,"PIN1E",3.93
165,"PIN3E",4.17
165,"PIN3PM",3.06
166,"GENERAL",6.5
166,"IIN1E",8
166,"ISO2B",6.39
166,"TEC1E",5.69
166,"TEC3E",6.12
167,"EVC2EA",7.73
167,"FIL1B",6.05
167,"GENERAL",7.14
167,"HIF2BA",6.94
167,"VET1E",7.67
167,"VET2E",6.26
167,"VET3E",7.28
167,"VET4E",7.04
168,"ACM3PM",4.48
168,"ANA1BA",6.95
168,"ATE2BA",7.08
168,"ATE3EA",9.25
168,"BGE1E",5.03
168,"BGE3EA",5.74
168,"BGE4E",7.29
168,"BGE4EA",5.93
168,"GENERAL",6.3
168,"IIN2E",5.68
168,"YIC4EA",7.49
169,"DYO1BA",8.35
169,"GENERAL",6.78
169,"ISO2B",8.11
169,"TEC1E",6.24
169,"TYD1EA",6.45
169,"TYD3EA",5.85
170,"DTE3E",6.11
170,"EFI1B",6.59
170,"EFI1BA",7.32
170,"EFI1E",5.9
170,"EFI1EA",6.59
170,"EFI2E",5.1
170,"EFI3EA",6.81
170,"EFI4EA",6.47
170,"GENERAL",6.49
171,"GENERAL",4.46
171,"GHI1E",4.84
171,"GHI2E",3.57
172,"GENERAL",3
172,"MAB3E",3.07
172,"MAT1E",3.38
172,"MAT2E",2.64
173,"FIL1B",5.03
173,"GENERAL",5.6
173,"VET1E",5.86
173,"VET2E",5.79
174,"GENERAL",6.63
174,"SFR1E",7.03
174,"SFR2E",5.95
174,"SFR3E",6.75
174,"SFR4E",7.01
174,"SLF1EA",6.59
175,"GENERAL",2.4
175,"LCL1E",3.33
175,"LCL1EA",1
176,"FIQ1B",3.83
176,"FIQ2E",3.08
176,"GENERAL",3.3
177,"GENERAL",6.26
177,"MUS2E",6.26
178,"GENERAL",4.32
178,"LCL2E",4.32
179,"ATE2BA",6.69
179,"GENERAL",5.81
179,"LEI1EA",5.52
179,"LEI3EA",7.01
179,"PIN1B",4.77
179,"PIN2E",3.99
179,"PIN3E",5.51
180,"CAV3E",6.85
180,"EPV2E",5.42
180,"GENERAL",6.23
181,"GENERAL",5.69
181,"GHI1E",6.07
181,"GHI4E",5.56
182,"GENERAL",4.64
182,"IAE4E",4.64
183,"ALS3PM",4.23
183,"GENERAL",4.23
184,"GENERAL",7.4
184,"PIB1E",7.4
185,"GENERAL",6.85
185,"PIB1E",6.91
185,"PIB2E",6.33
185,"PIB3E",7.21
186,"ECO1B",6.16
186,"ECO4E",7.54
186,"EEM2B",5.12
186,"FAG2B",8.12
186,"GENERAL",6.6
189,"ECO4E",7.22
189,"GENERAL",7.22
191,"FIQ1BA",6.03
191,"FIQ2E",2.86
191,"FIQ2EA",3.02
191,"FIQ3EA",5.01
191,"GENERAL",5.19
191,"MIN1BA",7.85
191,"QUI2B",6.98
191,"QUI2BA",6.74
192,"GENERAL",4.73
192,"MAT1EA",4.64
192,"MAT2E",4.83
193,"GENERAL",6.9
193,"MUS2E",6.9
194,"ATD3EA",0
194,"GENERAL",4.84
194,"LEI1EA",4.48
194,"LEI2EA",5.14
194,"LEI3EA",5.64
194,"PIN2E",4.77
195,"ATD1EA",0
195,"FIL1BA",4.54
195,"GENERAL",6.1
195,"HIF2B",5.03
195,"VET2E",6.39
195,"VET4E",7.31
196,"ATE1EA",7.67
196,"GENERAL",5.78
196,"GHI1EA",4.94
196,"GHI2E",5.55
196,"GHI2EA",5.96
196,"GHI3EA",5.24
196,"GHI4E",5.92
197,"ATD1BA",0
197,"GENERAL",4.05
197,"LCL2E",4.42
197,"RCC1EA",5.73
198,"GENERAL",5.31
198,"MAT1EA",6.58
198,"MAT2E",5
199,"FIL1BA",7.56
199,"GENERAL",6.84
199,"PSI2B",9.12
199,"VET2E",6.16
199,"VET4E",5.6
200,"ANA1BA",6.07
200,"BGE3EA",5.57
200,"GENERAL",5.62
200,"IIN2E",5.28
201,"GENERAL",5
201,"VET2E",5
202,"GENERAL",6.28
202,"IAE4E",6.28
203,"ATE2EA",5.67
203,"GENERAL",4.74
203,"LCL1BA",4.07
203,"LCL1EA",4.84
203,"LCL2EA",2.03
203,"LCL3EA",4.52
203,"LCL4E",5.6
203,"RCC1EA",2.11
203,"RCC2EA",4.27
204,"ATE2EA",8.53
204,"GEG2B",7.57
204,"GEG2BA",7.41
204,"GENERAL",6.73
204,"GHI1EA",6.59
204,"GHI2EA",5.93
204,"GHI3EA",6.13
204,"GHI4E",6.48
204,"GHI4EA",5.36
204,"HAR2BA",7.41
205,"CAV3EA",7.05
205,"EPV2E",7.74
205,"EPV4E",8.04
205,"GENERAL",7.55
206,"GENERAL",7.16
206,"LEI1EA",6.98
206,"LEI2EA",6.99
206,"PIB2E",7.48
207,"GENERAL",6.71
207,"LEI1EA",7.47
207,"PIB2E",6.08
208,"ATE2EA",6.29
208,"BGE1EA",4.52
208,"BGE3EA",5.01
208,"BGE4E",6.4
208,"GENERAL",5.07
209,"GENERAL",6.03
209,"SLF1EA",5.8
209,"SLF3EA",6.58
210,"EPV1EA",6.96
210,"GENERAL",6.96
211,"ATD1BA",0
211,"ATD3EA",0
211,"GENERAL",2.56
211,"LEI1EA",4.58
212,"GENERAL",6.22
212,"MAT1EA",6.47
212,"MAT3EA",5.54
213,"GENERAL",5.82
213,"LEI1EA",6.67
213,"LEI3EA",4.24
214,"DCR3EA",7.69
214,"DYO1BA",8.41
214,"GENERAL",7.78
214,"ISO2B",9.17
214,"ISO2BA",9.21
214,"TEC4EA",7.02
214,"TYD1EA",7.04
215,"GENERAL",7.25
215,"REC3EA",7.25
216,"ECO1BA",6.16
216,"EDM2BA",7.22
216,"EEM2B",6.8
216,"EPS3EA",6.87
216,"FAG2B",7.97
216,"FRE1BA",7.67
216,"GENERAL",7.12
222,"ATE3EA",8.62
222,"GENERAL",4.73
222,"MAT1EA",3.73
222,"MAT2EA",3.51
222,"MTA4EA",3.73
223,"GENERAL",7.5
223,"RIS1EA",7.38
223,"RIS2EA",7.22
223,"RIS3EA",7.82
223,"RIS4EA",8.58
224,"GENERAL",6.49
224,"SLF1EA",6.71
224,"SLF2EA",6.33
225,"DYO1BA",8.37
225,"GENERAL",5.56
225,"TEC4EA",5.17
225,"TYD1EA",4.54
225,"TYD3EA",4.8
226,"EFI1EA",6.55
226,"EFI4EA",6.34
226,"GENERAL",6.49
227,"CAV3EA",6.12
227,"EPV1EA",5.56
227,"EPV2EA",5.78
227,"GENERAL",5.96
227,"YCP4EA",7.3
228,"GENERAL",5.66
228,"LCL1EA",4.88
228,"LCL2EA",5.89
228,"RCC1EA",4.98
229,"DCR3EA",8.01
229,"DIG4EA",6.48
229,"GENERAL",6.68
229,"ISO2BA",7.72
229,"TYD1EA",5.94
230,"GENERAL",6.71
230,"LEI1EA",6.71
231,"GENERAL",4.71
231,"MAT1EA",4.71
232,"ATE1EA",8.18
232,"GENERAL",6.69
232,"SLF1EA",6.74
232,"SLF2EA",6.4
233,"EFI2EA",7.26
233,"GENERAL",7.26
234,"ATE2EA",6.59
234,"ATE3EA",6.94
234,"ATE4EA",8.06
234,"EVC2EA",6.35
234,"FIL1BA",7.02
234,"GENERAL",6.76
234,"HIF2BA",8.36
235,"GENERAL",7.16
235,"MUS2EA",7.05
235,"MUS3EA",7.7
236,"ATE3EA",8.6
236,"FIQ1BA",5.12
236,"FIQ2EA",4.12
236,"FIQ3EA",5.04
236,"GENERAL",5.15
237,"GENERAL",4.88
237,"LCL2EA",5.03
237,"LCL4EA",4.74
238,"GENERAL",5.16
238,"LEI2EA",5.16
239,"GENERAL",5.64
239,"MAT2EA",6.56
239,"MAT3EA",5.17
239,"MCS1BA",5.03
239,"MCS2BA",6.02
239,"MTB4EA",5.35
240,"ATE4EA",7.78
240,"GENERAL",5.97
240,"LEI1BA",4.41
240,"LEI1EA",6.13
240,"LEI2BA",5.47
240,"LEI3EA",4.93
240,"LEI4EA",6.5
241,"ECO1BA",7.1
241,"EDM2BA",6.81
241,"EPS3EA",6.31
241,"FRE1BA",7.67
241,"GENERAL",7.07
241,"YEF4EA",6.65
242,"ATE2BA",5
242,"ATE3EA",7.91
242,"GENERAL",5.38
242,"MAT1EA",5.1
242,"MAT2EA",5.59
243,"EYE4EA",5.77
243,"FOP4EA",5.73
243,"GENERAL",5.75
244,"GENERAL",6.53
244,"LEI2EA",5.94
244,"LEI4EA",6.81
245,"FIQ3EA",6.49
245,"FIQ4EA",6.9
245,"GENERAL",6.77
248,"EPV1EA",8.1
248,"GENERAL",8.74
248,"NMA2BA",9.09
249,"ATE2EA",8.89
249,"EVC2EA",8.99
249,"FIL1BA",7.74
249,"GENERAL",8.45
249,"HIF2BA",8.24
250,"EPV1EA",7.28
250,"EPV2EA",7.23
250,"GENERAL",7.26
250,"YCP4EA",7.25
254,"ATE1BA",5.57
254,"ATE1EA",7.42
254,"GENERAL",6
254,"SLF1EA",6.1
254,"SLF2EA",5.89
254,"SLF3EA",6.09
255,"EFI1BA",7.81
255,"EFI1EA",6.31
255,"EFI2EA",6.81
255,"GENERAL",6.79
256,"GENERAL",5.2
256,"MAT1EA",4.82
256,"MAT3EA",5.08
256,"MTA4EA",5.7
257,"ATE1EA",9.88
257,"DYP2BA",8.23
257,"GENERAL",7.34
257,"TYD1EA",5.48
257,"TYD3EA",7.94
258,"ATE2BA",7.84
258,"ATE3EA",8.04
258,"GENERAL",6.33
258,"LCL4EA",4
258,"RCC1EA",4.98
259,"ATE1EA",6.18
259,"GENERAL",6.35
259,"SLF1EA",6.28
259,"SLF2EA",6.54
260,"BGE1EA",5.4
260,"GENERAL",6.34
260,"YIC4EA",7.16
261,"ATE2EA",8.12
261,"GENERAL",5.56
261,"MAT1EA",4.42
261,"MAT2EA",5.44
262,"GENERAL",7.44
262,"REC1EA",7.13
262,"REC2BA",3.5
262,"REC2EA",7.71
262,"REC3EA",7.5
262,"REC4EA",8.14
263,"BGC1BA",4.96
263,"BGE1EA",6.39
263,"BGE4EA",6.17
263,"GENERAL",5.89
264,"GENERAL",5.38
264,"LCL1EA",6.19
264,"LCL2BA",6.1
264,"LCL2EA",4.81
264,"RCC2EA",4.29
265,"FIQ2EA",4.29
265,"FIQ4EA",6.55
265,"FIS2BA",6.27
265,"GENERAL",5.58
266,"ATE4EA",9.36
266,"GENERAL",6.91
266,"GHI2EA",6.18
266,"GHI3EA",7.03
267,"GENERAL",3.79
267,"MAT2EA",3.79
268,"ATE2EA",7.33
268,"GENERAL",6.85
268,"TYD3EA",6.66
269,"ATE2EA",8.2
269,"FIQ2EA",4.59
269,"FIQ3EA",6.08
269,"GENERAL",6.1
270,"GENERAL",5.13
270,"GHI2EA",4
270,"GHI3EA",3.77
270,"GHI4EA",6.63
271,"GENERAL",6.45
271,"MAT2EA",6.1
271,"MAT3EA",6.75
272,"GENERAL",5.97
272,"MUS2EA",6.23
272,"MUS3EA",5.48
273,"GENERAL",7.6
273,"SLF1EA",7.38
273,"SLF2EA",7.73
274,"AED3EA",5.22
274,"EFI2EA",6.3
274,"EFI3EA",7.19
274,"GENERAL",6.77
275,"GENERAL",6.99
275,"GHI2EA",7.02
275,"HMC1BA",6.88
276,"GENERAL",3.17
276,"REC1EA",1
276,"REC2EA",1.33
276,"RIS1EA",5.17
277,"FIQ1BA",4.58
277,"FIQ2EA",5.92
277,"FIQ3EA",5.5
277,"GENERAL",5.54
278,"ANA1BA",8.16
278,"BGE3EA",5.54
278,"BGE4EA",6.72
278,"GENERAL",6.92
279,"GENERAL",5.63
279,"MAT1BA",5.44
279,"MAT2EA",5.78
279,"MAT3EA",5.65
280,"ATE1EA",9.18
280,"DCR3EA",8.74
280,"GENERAL",6.78
280,"TYD1EA",5.98
280,"TYD3EA",4.7
281,"CAV3EA",6.28
281,"EPV2EA",8.13
281,"GENERAL",8.14
281,"NMA2BA",8.73
282,"ATE4EA",6.69
282,"DIT1BA",5.93
282,"DIT2BA",8.68
282,"GENERAL",7.42
282,"YCP4EA",8.03
283,"ECO1BA",5.23
283,"EYE4EA",6.75
283,"GENERAL",6.33
284,"ATE1BA",6.74
284,"GENERAL",6.85
284,"LAT4EA",6.91
285,"ATE1BA",8.83
285,"ATE4EA",7.22
285,"GENERAL",6.59
285,"GHI4EA",4.64
286,"DYO1BA",7.69
286,"GENERAL",7.9
286,"ISO2BA",9.2
286,"TEC4EA",6.11
287,"GENERAL",7.45
287,"LEI1BA",6.53
287,"LEI2EA",7.24
287,"LEI3EA",8.6
287,"LEI4EA",7.87
288,"ATE4EA",7.54
288,"GENERAL",7.54
